"","day","Measure","ParameterGroup","Mean","median","sd","sem"
"167","3days","min_Angle__left__back__hip_ankle_toe","angles_horizontal_sidePersp",146.05680217574,148.504142829296,5.86322154101124,2.62211238656844
"168","3days","min_Angle__left__back__iliac_hip_ankle","angles_horizontal_sidePersp",174.18183572933,174.815604012967,6.85888411176676,3.06738622474075
"169","3days","min_Angle__left__front__ellbow_wrist_toetip","angles_horizontal_sidePersp",172.898388818795,168.194591209017,9.71043187140846,4.34263715106996
"170","3days","min_Angle__left__front__shoulder_ellbow_wrist","angles_horizontal_sidePersp",170.534341810809,171.091221092349,4.54080388249335,2.03070923075002
"171","3days","min_Angle__right__back__hip_ankle_toe","angles_horizontal_sidePersp",126.709401443853,127.638514462976,8.49383908652748,3.79856031748403
"172","3days","min_Angle__right__back__iliac_hip_ankle","angles_horizontal_sidePersp",172.516097550267,175.828324400899,5.68550834065126,2.54263662726765
"173","3days","min_Angle__right__front__ellbow_wrist_toetip","angles_horizontal_sidePersp",166.292863167403,166.496753071631,2.12586383680715,0.950715210001863
"174","3days","min_Angle__right__front__shoulder_ellbow_wrist","angles_horizontal_sidePersp",174.646068578309,174.625618481446,2.99536436350297,1.33956766683461
"175","3days","r-back-ankle__Average_Height","VerticalHeight_Analysis_sidePersp",0.179737599797499,0.072875154087458,0.407758454481739,0.182355124524285
"176","3days","r-back-ankle__Movement","VerticalHeight_Analysis_sidePersp",0.126844645933693,0.367640089154042,0.527957299726856,0.236109682281296
"177","3days","r-back-toe__Average_Height","VerticalHeight_Analysis_sidePersp",-0.135322529157404,-0.13132237611894,0.073600052473814,0.0329149440957999
"178","3days","r-back-toe__Movement","VerticalHeight_Analysis_sidePersp",-0.568705016267737,-0.630119651387938,0.138708719649435,0.0620324252416194
"179","3days","r-elbow__Average_Height","VerticalHeight_Analysis_sidePersp",-0.445911492258706,-0.433196541314457,0.0341111371260997,0.0152549642807552
"180","3days","r-elbow__Movement","VerticalHeight_Analysis_sidePersp",-0.899575370571039,-0.878660715507991,0.162845004959665,0.0728265001772203
"181","3days","r-front-toe-tip__Average_Height","VerticalHeight_Analysis_sidePersp",-0.141733307663066,-0.144437513420295,0.127082558737327,0.0568330480182547
"182","3days","r-front-toe-tip__Movement","VerticalHeight_Analysis_sidePersp",-0.340759737268662,-0.286220025055012,0.186148049824197,0.0832479386571845
